Game,Market,Actual_Event_Title,Event_Family,Start,End,Core_Meta_Side,Core_Mechanic,Monetization,Social_CRM,Reuse_Engine,Primary_KPI,Evidence_Status,Source,Gap
Heartopia,Global-secondary,Echo of Ancients,Season/Festival,2026-08-29,2026-10-10,Meta/LiveOps,Catalog + daily requests + collection + mining,Festival/Supreme Pack + tokens + passes,Home Like / requests,Season engine,Entry/Completion/Revenue,FIRST-PARTY CURRENT,https://steamcommunity.com/app/4025700/announcements/,US participation TBD
Heartopia,Global-secondary,Rhythm of Nature,Social Check-in,2026-08-29,2026-10-10,Side/LiveOps,7-day face-to-face friend interaction,Limited rewards,Per-friend progress,Friend-progress engine,Participation/Return,FIRST-PARTY CURRENT,https://steamcommunity.com/app/4025700/announcements/,US participation TBD
Heartopia,Global-secondary,Primal Pulse,Exploration Mini-event,2026-08-29,2026-10-10,Side/LiveOps,Find bubbles / collect emotes,Event rewards,Map-state return,Exploration engine,Entry/Completion,FIRST-PARTY CURRENT,https://steamcommunity.com/app/4025700/announcements/,Participation TBD
Heartopia,Global-secondary,Party Festival,UGC/Party,2026-09-19,2026-10-09,Side/Social,Party Club + player blueprints,TBD,UGC / party state,Party/UGC engine,UGC Creation/Visits,FIRST-PARTY CURRENT,https://steamcommunity.com/app/4025700/announcements/,Monetization TBD
Heartopia,Global-secondary,Burger Bliss,Collab/Exchange,2026-09-19,2026-10-12,Side/LiveOps,Tasks + exchange,Event exchange,Social promotion,Quest+Exchange engine,Entry/Exchange Use,SECONDARY OFFICIAL-DERIVED,https://build-heartopia.com/events,Participation TBD
Heartopia,Global-secondary,Under the Same Moon,Seasonal Check-in,2026-09-25,2026-10-12,Side/LiveOps,Moon-viewing location check-ins,Seasonal rewards,Location/social return,Check-in engine,Check-in/Return,FIRST-PARTY CURRENT,https://steamcommunity.com/app/4025700/announcements/,US participation TBD
Heartopia,Global-secondary,Autumn Moon Treasury,Seasonal Store,2026-09-25,2026-10-12,Meta/Monetization,Recipes + outfits + pet costumes + furniture,Event store,Seasonal promotion,Store/Exchange engine,Store Use/Revenue,FIRST-PARTY CURRENT,https://steamcommunity.com/app/4025700/announcements/,Conversion TBD
Heartopia,Global-secondary,Sea Lanterns of Sentiment,Social/UGC-lite,2026-09-25,2026-10-12,Side/Social,Display/release lanterns + blessing messages,Event-store lanterns,Public messages,UGC-lite engine,Participation/Share,FIRST-PARTY CURRENT,https://steamcommunity.com/app/4025700/announcements/,Moderation/support cost TBD
Heartopia,Global-secondary,Starspell Voyager,Exhibition/Collection,2026-09-26,2026-11-28,Meta/LiveOps,3 exhibitions + pass + ticket stubs + variant exchange,Exhibition draw / exchange,Collection sharing,Gacha+Collection engine,Draw/Collection Completion,FIRST-PARTY SCHEDULED,https://steamcommunity.com/app/4025700/announcements/,US conversion TBD
Heartopia,Global-secondary,Double Moonlight Sign-In,Login/Guild CRM,2026-09-28,2026-10-12,CRM,Guild sign-in,Double Moonlight Crystals,Guild return,Sign-in engine,Claim/Return,FIRST-PARTY SCHEDULED,https://steamcommunity.com/app/4025700/announcements/,Claim rate TBD
Heartopia,Global-secondary,New Legend of Madame White Snake,Licensed Collab,2026-09-30,2026-10-26,Meta/LiveOps,Map movement + Lingzhi + quests + friend interaction,Premium tier + collab pack + exchange,Per-friend 7-day state,Collab wrapper,Entry/Pass/Exchange/Revenue,FIRST-PARTY SCHEDULED,https://steamcommunity.com/app/4025700/announcements/,US payer/event cohort TBD
Township,US,Harvest Pass,Season Pass,2026-09-11,2026-10-01,Meta/Monetization,Pass progression,Golden Ticket + extra rewards,N/A,Pass engine,Pass Entry/Completion/Revenue,SOURCE CURRENT STORE EVENT,https://socialpeta.com/en/google-play/com.playrix.township,Conversion TBD
Township,US,Guest from Space,Expedition,2026-09-12,2026-10-01,Side/LiveOps,Explore + levels + energy,Rewards/title,N/A,Expedition engine,Entry/Completion,SOURCE CURRENT STORE EVENT,https://socialpeta.com/en/google-play/com.playrix.township,Participation TBD
